,size,ResNet50_baseline_top_1_accuracy,ResNet50_baseline_top_3_accuracy,ResNet50_tripplet_loss_top_1_accuracy,ResNet50_tripplet_loss_top_3_accuracy,ResNet50_infoNCE_top_1_accuracy,ResNet50_infoNCE_top_3_accuracy,starttime,endtime
0,0,0.4166666567325592,0.6041666865348816,0.5416666865348816,0.75,0.4375,0.6666666865348816,2023-03-13 09:51:31,2023-03-13 13:54:22
1,1,0.4166666567325592,0.6458333134651184,0.4791666567325592,0.75,0.3958333432674408,0.6875,2023-03-13 13:54:22,2023-03-14 16:46:37
2,2,0.375,0.625,0.5208333134651184,0.7916666865348816,0.3541666567325592,0.7083333134651184,2023-03-14 16:46:37,2023-03-16 07:25:20
